ID_UNICO,TIMESTAMP,HORA_EXACTA_REPORTE,FECHA,REGION,COMUNA,EMPRESA,CLIENTES_AFECTADOS,ACTUALIZADO_HACE
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Tarapaca,Alto Hospicio,CGE,1,0 Dias 0 Horas 12 Minutos 
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Biobio,Los Angeles,CGE,1,0 Dias 0 Horas 12 Minutos 
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,La Araucania,Lautaro,FRONTEL,1,0 Dias 0 Horas 12 Minutos 
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Metropolitana,San Jose de Maipo,CGE,1,0 Dias 0 Horas 12 Minutos 
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Metropolitana,Santiago,ENEL,1,0 Dias 0 Horas 12 Minutos 
26/2/2025----3-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Antofagasta,Antofagasta,CGE,3,0 Dias 0 Horas 12 Minutos 
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,O`Higgins,Rancagua,CGE,1,0 Dias 0 Horas 12 Minutos 
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Los Lagos,San Pablo,SAESA,1,0 Dias 0 Horas 12 Minutos 
26/2/2025----2-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Los Rios,Futrono,SAESA,2,0 Dias 0 Horas 12 Minutos 
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Maule,Cauquenes,CGE,1,0 Dias 0 Horas 12 Minutos 
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Metropolitana,Quilicura,ENEL,1,0 Dias 0 Horas 12 Minutos 
